model,window,n_fit_samples,n_val_anchors,train_seconds,mae_avg_all_steps,mae_step_1,mae_step_2,mae_step_3,mae_step_4,mae_step_5,mae_step_6,mae_step_7,mae_step_8,mae_step_9,mae_step_10,mae_step_11,mae_step_12,mae_step_13,mae_step_14,mae_step_15,mae_step_16,mae_step_17,mae_step_18
lightgbm,9,510370,29995,3.025824785232544,12.666948292704724,3.0257982863992545,5.14567885908415,6.7681280106295745,8.157772319697735,9.342405893307756,10.386137925173026,11.385858496112672,12.329765389692003,13.177335020292045,13.939614744945594,14.678824318563043,15.37377123846822,16.046592825467286,16.687240712818195,17.20558264630695,17.678218939522353,18.11968273331955,18.556660908885583
catboost,9,510370,29995,12.721911430358887,12.906838743835307,3.055493090093093,5.17655906699184,6.7871780408202955,8.175177379910611,9.367474731049029,10.436901749898624,11.467345552421936,12.443444601346485,13.331917745612747,14.156613513585244,14.932854002928057,15.675841031161003,16.415404003743635,17.117645202936885,17.685410008947365,18.196023714219073,18.708718455515545,19.193095497854085
xgboost,10,500500,29225,7.824599742889404,12.823441690430986,3.0260152182729962,5.145276277279425,6.846183864309606,8.236374153026258,9.497397697455257,10.568473648058236,11.526504659138753,12.453696508350486,13.329044464607337,14.179489143051788,14.978322665146827,15.682490911557187,16.271344803939833,16.85867540501447,17.34669016267827,17.829727480376857,18.304384524930327,18.74185884056385
lightgbm,10,500500,29225,2.874912738800049,12.886732691019922,3.021825397913183,5.138821569760164,6.829781279385462,8.21765568634954,9.475865750601892,10.54613365151341,11.504471230240782,12.45013932019458,13.33090098204319,14.212547346621706,15.052731632216545,15.78761979511661,16.405489564601165,17.01276736587008,17.524677501419134,18.018459840732387,18.505834966209388,18.9254655575694
catboost,10,500500,29225,12.631796598434448,13.220762134129261,3.0501058764537956,5.161952621869099,6.842161049993163,8.247355604601516,9.547668540161087,10.668888230725447,11.686957280025789,12.692490462544924,13.626808900452206,14.554970588756827,15.432936774739353,16.21734651842127,16.89737861697441,17.567202531811283,18.144014071014265,18.705671688562774,19.228626183075175,19.70118287414434
xgboost,11,490630,28490,7.792307376861572,13.387177823948454,3.0711126100560917,5.2366642013019575,6.9821794359254685,8.437307495567078,9.69618844232797,10.885278684509641,11.974663084437864,12.976232994242944,13.915016309283581,14.81035916779325,15.686658855637738,16.493566105615972,17.206738384082133,17.83808439662474,18.327538602433318,18.761135043743074,19.15391625310296,19.516560764386387
lightgbm,11,490630,28490,3.49275279045105,13.26204635923196,3.0652922648423075,5.213026247611151,6.926707340347424,8.354505388962458,9.591903201171496,10.769552692636115,11.842652191052569,12.83565117729765,13.753616534829858,14.636863732085427,15.504455043837904,16.306304935998075,17.021332232937898,17.658722815339036,18.16017218083033,18.626640549213963,19.041213559775134,19.408222377406446
catboost,11,490630,28490,12.699596643447876,13.452834626322534,3.0889887161983856,5.252821332151575,6.97764944049178,8.414576550820069,9.672681404305926,10.890697730040488,12.00302756426864,13.023481840412748,13.964581656582215,14.893231092267046,15.788599659941184,16.601984914667298,17.31875739083833,17.964309462579543,18.45799879357379,18.9047763071055,19.291472582070412,19.641386835490675
xgboost,12,480865,27755,7.9315879344940186,13.623536231625216,3.115840014507697,5.317018972158733,7.07205014703854,8.540347012406619,9.891833118403673,11.114515450459905,12.205101477462007,13.245689494621429,14.176521298245811,15.083585552970819,15.954136411694014,16.784090770349657,17.494839342296327,18.14861268057434,18.640442659807213,19.094868244108607,19.507443865688614,19.83671565645988
lightgbm,12,480865,27755,3.535719156265259,13.575699259420388,3.107919066265905,5.2852524252577995,7.0231881779989624,8.47743259728901,9.809644599001004,11.013071714942976,12.11005043706489,13.147410983978785,14.077316179706152,14.996793992076956,15.904607496888511,16.745790591773773,17.466089107502775,18.128149526043032,18.628923366400088,19.087448718499967,19.50574309716358,19.84775459171279
catboost,12,480865,27755,12.591952800750732,13.461948385366185,3.1126470149536813,5.299424283060323,7.026952167420453,8.466784488779139,9.800250372994022,11.00380375343963,12.104283399054111,13.14922874174136,14.069316838630728,14.967846949319268,15.831314336866352,16.610319187122172,17.272978118147833,17.878240137548357,18.346008245265804,18.7646866412705,19.148382675692716,19.462603585284885
xgboost,13,471135,27020,7.86968469619751,13.896660185201418,3.127676177571916,5.3755960149645015,7.20571592487643,8.773521767255556,10.086961365875538,11.270869681289865,12.363994463984831,13.436946391706375,14.469001243133883,15.42432702189459,16.31177556442385,17.139369832454655,17.886176950043875,18.580176415997553,19.102699321009865,19.539239303735695,19.8847902237266,20.161045669679904
lightgbm,13,471135,27020,3.4425220489501953,13.825027228178918,3.135860420939237,5.370982078277167,7.18009520856209,8.724543720504792,10.013320840105292,11.169386406474064,12.248176708520933,13.329763014945877,14.36943786224962,15.341269946177862,16.253672863666264,17.099624781192066,17.84178808904483,18.511636117556073,19.01528506023959,19.43852529833278,19.770995536141466,20.036126154290493
catboost,13,471135,27020,12.369495153427124,14.106632670756028,3.155940010092361,5.4019931342219705,7.206606156461434,8.764958955935,10.112351956856484,11.33170159079126,12.470959285381786,13.600674296272718,14.692710982143508,15.707446611829582,16.64790080715521,17.52868999106737,18.28699322871031,18.96738317701694,19.482274689664617,19.881104803776957,20.215132581343425,20.464565814887564
xgboost,14,461405,26285,7.895370006561279,14.053546582800623,3.150182537726855,5.439055268547257,7.273250686213025,8.765688905793949,10.070125397697973,11.302733587824122,12.408184344817958,13.46813221148309,14.521083538773079,15.537904561960541,16.531238923808434,17.466220286664843,18.234959371275426,18.895355868398497,19.40314909303871,19.817919074906264,20.167179652622767,20.511475178858433
